year,quarter,programme,programme_label,region,region_label,projet,projet_label,ligne,ligne_label,type_ligne,lf_mdh,taux,line_id,lf_ratio,lf_share
2020,1,300,Soutien et Pilotage,0,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,12.119,0.0,P300-R00-Pj10-L11,0.9167,0.0112
2020,2,300,Soutien et Pilotage,0,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,12.119,0.1223,P300-R00-Pj10-L11,0.9167,0.0112
2020,3,300,Soutien et Pilotage,0,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,12.119,0.2102,P300-R00-Pj10-L11,0.9167,0.0112
2020,4,300,Soutien et Pilotage,0,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,12.119,0.7124,P300-R00-Pj10-L11,0.9167,0.0112
2021,1,300,Soutien et Pilotage,0,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.983,0.0,P300-R00-Pj10-L11,0.6795,0.0112
2021,2,300,Soutien et Pilotage,0,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.983,0.0722,P300-R00-Pj10-L11,0.6795,0.0112
2021,3,300,Soutien et Pilotage,0,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.983,0.1518,P300-R00-Pj10-L11,0.6795,0.0112
2021,4,300,Soutien et Pilotage,0,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.983,0.6006,P300-R00-Pj10-L11,0.6795,0.0112
2022,1,300,Soutien et Pilotage,0,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.898,0.0108,P300-R00-Pj10-L11,0.6731,0.0112
2022,2,300,Soutien et Pilotage,0,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.898,0.1215,P300-R00-Pj10-L11,0.6731,0.0112
2022,3,300,Soutien et Pilotage,0,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.898,0.4921,P300-R00-Pj10-L11,0.6731,0.0112
