year,quarter,programme,programme_label,region,region_label,projet,projet_label,ligne,ligne_label,type_ligne,lf_mdh,taux,line_id,budget_type,lf_ratio,lf_share
2020,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,12.119,0.0,P300-R00-Pj10-L11,INVESTISSEMENT,0.9167,0.0112
2020,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,12.119,0.1223,P300-R00-Pj10-L11,INVESTISSEMENT,0.9167,0.0112
2020,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,12.119,0.2102,P300-R00-Pj10-L11,INVESTISSEMENT,0.9167,0.0112
2020,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,12.119,0.7124,P300-R00-Pj10-L11,INVESTISSEMENT,0.9167,0.0112
2021,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.983,0.0,P300-R00-Pj10-L11,INVESTISSEMENT,0.6795,0.0112
2021,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.983,0.0722,P300-R00-Pj10-L11,INVESTISSEMENT,0.6795,0.0112
2021,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.983,0.1518,P300-R00-Pj10-L11,INVESTISSEMENT,0.6795,0.0112
2021,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.983,0.6006,P300-R00-Pj10-L11,INVESTISSEMENT,0.6795,0.0112
2022,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.898,0.0108,P300-R00-Pj10-L11,INVESTISSEMENT,0.6731,0.0112
2022,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.898,0.1215,P300-R00-Pj10-L11,INVESTISSEMENT,0.6731,0.0112
2022,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.898,0.4921,P300-R00-Pj10-L11,INVESTISSEMENT,0.6731,0.0112
2022,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,8.898,0.8807,P300-R00-Pj10-L11,INVESTISSEMENT,0.6731,0.0112
2023,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,10.332,0.0073,P300-R00-Pj10-L11,INVESTISSEMENT,0.7816,0.0112
2023,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,10.332,0.0765,P300-R00-Pj10-L11,INVESTISSEMENT,0.7816,0.0112
2023,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,10.332,0.134,P300-R00-Pj10-L11,INVESTISSEMENT,0.7816,0.0112
2023,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,10.332,0.7686,P300-R00-Pj10-L11,INVESTISSEMENT,0.7816,0.0112
2024,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,20.143,0.0026,P300-R00-Pj10-L11,INVESTISSEMENT,1.5237,0.0112
2024,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,20.143,0.0465,P300-R00-Pj10-L11,INVESTISSEMENT,1.5237,0.0112
2024,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,20.143,0.388,P300-R00-Pj10-L11,INVESTISSEMENT,1.5237,0.0112
2024,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,20.143,0.9073,P300-R00-Pj10-L11,INVESTISSEMENT,1.5237,0.0112
2025,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,18.844,0.0036,P300-R00-Pj10-L11,INVESTISSEMENT,1.4254,0.0112
2025,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,18.844,0.0536,P300-R00-Pj10-L11,INVESTISSEMENT,1.4254,0.0112
2025,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,18.844,0.426,P300-R00-Pj10-L11,INVESTISSEMENT,1.4254,0.0112
2025,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,11,Extension et équipement du siège du Ministère,travaux,18.844,0.8829,P300-R00-Pj10-L11,INVESTISSEMENT,1.4254,0.0112
2020,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,23.026,0.0,P300-R00-Pj10-L12,INVESTISSEMENT,0.9167,0.0213
2020,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,23.026,0.0381,P300-R00-Pj10-L12,INVESTISSEMENT,0.9167,0.0213
2020,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,23.026,0.192,P300-R00-Pj10-L12,INVESTISSEMENT,0.9167,0.0213
2020,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,23.026,0.6642,P300-R00-Pj10-L12,INVESTISSEMENT,0.9167,0.0213
2021,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,17.068,0.0004,P300-R00-Pj10-L12,INVESTISSEMENT,0.6795,0.0213
2021,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,17.068,0.0237,P300-R00-Pj10-L12,INVESTISSEMENT,0.6795,0.0213
2021,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,17.068,0.1823,P300-R00-Pj10-L12,INVESTISSEMENT,0.6795,0.0213
2021,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,17.068,0.6293,P300-R00-Pj10-L12,INVESTISSEMENT,0.6795,0.0213
2022,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,16.906,0.0055,P300-R00-Pj10-L12,INVESTISSEMENT,0.6731,0.0213
2022,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,16.906,0.0613,P300-R00-Pj10-L12,INVESTISSEMENT,0.6731,0.0213
2022,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,16.906,0.5341,P300-R00-Pj10-L12,INVESTISSEMENT,0.6731,0.0213
2022,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,16.906,0.8847,P300-R00-Pj10-L12,INVESTISSEMENT,0.6731,0.0213
2023,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,19.63,0.0003,P300-R00-Pj10-L12,INVESTISSEMENT,0.7815,0.0213
2023,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,19.63,0.0889,P300-R00-Pj10-L12,INVESTISSEMENT,0.7815,0.0213
2023,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,19.63,0.1194,P300-R00-Pj10-L12,INVESTISSEMENT,0.7815,0.0213
2023,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,19.63,0.6445,P300-R00-Pj10-L12,INVESTISSEMENT,0.7815,0.0213
2024,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,38.272,0.0018,P300-R00-Pj10-L12,INVESTISSEMENT,1.5237,0.0213
2024,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,38.272,0.0189,P300-R00-Pj10-L12,INVESTISSEMENT,1.5237,0.0213
2024,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,38.272,0.3554,P300-R00-Pj10-L12,INVESTISSEMENT,1.5237,0.0213
2024,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,38.272,0.8377,P300-R00-Pj10-L12,INVESTISSEMENT,1.5237,0.0213
2025,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,35.804,0.0051,P300-R00-Pj10-L12,INVESTISSEMENT,1.4255,0.0213
2025,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,35.804,0.0395,P300-R00-Pj10-L12,INVESTISSEMENT,1.4255,0.0213
2025,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,35.804,0.4671,P300-R00-Pj10-L12,INVESTISSEMENT,1.4255,0.0213
2025,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,12,Construction et équipement des cours d'appel,travaux,35.804,1.1614,P300-R00-Pj10-L12,INVESTISSEMENT,1.4255,0.0213
