rule,severity,Year,Line_Key,Intitule,detail
major_virement,medium,2025.0,1211006000-300-00-10-50,Indemnités horaires pour travaux supplémentaires,net virement = -96% of initial credits
major_virement,medium,2025.0,1211006000-300-00-10-62,Aide exceptionnelle au logement,net virement = -86% of initial credits
major_virement,medium,2023.0,1211006000-300-00-10-67,Indemnités de permanence aux secrétaires greffiers,net virement = +113% of initial credits
major_virement,medium,2021.0,1212006000-300-00-10-11,Impôts et taxes,net virement = -92% of initial credits
major_virement,medium,2022.0,1212006000-300-00-10-11,Impôts et taxes,net virement = +122% of initial credits
major_virement,medium,2024.0,1212006000-300-00-10-11,Impôts et taxes,net virement = +75% of initial credits
major_virement,medium,2025.0,1212006000-300-00-10-11,Impôts et taxes,net virement = -72% of initial credits
major_virement,medium,2024.0,1212006000-300-00-10-12,Locations de bâtiments administratifs et charges connexes,net virement = -62% of initial credits
major_virement,medium,2022.0,1212006000-300-00-10-13,Entretien et réparation des bâtiments administratifs,net virement = -83% of initial credits
major_virement,medium,2023.0,1212006000-300-00-10-13,Entretien et réparation des bâtiments administratifs,net virement = -51% of initial credits
major_virement,medium,2024.0,1212006000-300-00-10-13,Entretien et réparation des bâtiments administratifs,net virement = -94% of initial credits
major_virement,medium,2021.0,1212006000-300-00-10-14,Achat de fournitures et accessoires électriques,net virement = -79% of initial credits
major_virement,medium,2023.0,1212006000-300-00-10-14,Achat de fournitures et accessoires électriques,net virement = -59% of initial credits
major_virement,medium,2025.0,1212006000-300-00-10-14,Achat de fournitures et accessoires électriques,net virement = +105% of initial credits
major_virement,medium,2021.0,1212006000-300-00-10-15,"Frais de sécurité, gardiennage, nettoyage des bâtiments administratifs",net virement = -72% of initial credits
major_virement,medium,2022.0,1212006000-300-00-10-15,"Frais de sécurité, gardiennage, nettoyage des bâtiments administratifs",net virement = -84% of initial credits
major_virement,medium,2023.0,1212006000-300-00-10-15,"Frais de sécurité, gardiennage, nettoyage des bâtiments administratifs",net virement = -84% of initial credits
major_virement,medium,2024.0,1212006000-300-00-10-15,"Frais de sécurité, gardiennage, nettoyage des bâtiments administratifs",net virement = -81% of initial credits
major_virement,medium,2025.0,1212006000-300-00-10-15,"Frais de sécurité, gardiennage, nettoyage des bâtiments administratifs",net virement = -81% of initial credits
major_virement,medium,2021.0,1212006000-300-00-10-16,"Achat d'outillage, de matériel, de fournitures et de produits pour le jardinage",net virement = +91% of initial credits
