Year,Line_Key,Chap,Prog,Reg,Proj,Lb,Depth,Level,Intitule,Credits_Ouverts_Vises,Total_Engage_Vises,Credits_Ouverts,Virements_Plus,Virements_Moins,Total_Credits,Total_Engage
2021,1211006000,1211006000.0,,,,,1,Chapitre,Budget de Fonctionnement -Dépenses du Personnel-,4717208000,4781379728.76,4717208000.0,10000.0,10000.0,4809208000.0,4781379728.76
2022,1211006000,1211006000.0,,,,,1,Chapitre,Budget de Fonctionnement -Dépenses du Personnel-,5020563000,5014150298.43,5020563000.0,14000000.0,14000000.0,5020563000.0,5014150298.43
2023,1211006000,1211006000.0,,,,,1,Chapitre,Budget de Fonctionnement -Dépenses du Personnel-,3175472000,3071724920.04,3175472000.0,12000000.0,12000000.0,3175472000.0,3071724920.04
2024,1211006000,1211006000.0,,,,,1,Chapitre,Budget de Fonctionnement -Dépenses du Personnel-,3179307000,3171460390.71,3179307000.0,9500000.0,9500000.0,3179307000.0,3171460390.71
2025,1211006000,1211006000.0,,,,,1,Chapitre,Budget de Fonctionnement -Dépenses du Personnel-,3419812000,3417594788.2,3419812000.0,6000000.0,6000000.0,3419812000.0,3417594788.2
2026,1211006000,1211006000.0,,,,,1,Chapitre,Budget de Fonctionnement -Dépenses du Personnel-,4120912000,3976225539.57,4120912000.0,0.0,0.0,4120912000.0,3976225539.57
2021,1211006000-300,,300.0,,,,2,Programme,SOUTIEN ET PILOTAGE,4717208000,4781379728.76,4717208000.0,10000.0,10000.0,4809208000.0,4781379728.76
2022,1211006000-300,,300.0,,,,2,Programme,SOUTIEN ET PILOTAGE,5020563000,5014150298.43,5020563000.0,14000000.0,14000000.0,5020563000.0,5014150298.43
2023,1211006000-300,,300.0,,,,2,Programme,SOUTIEN ET PILOTAGE,3175472000,3071724920.04,3175472000.0,12000000.0,12000000.0,3175472000.0,3071724920.04
2024,1211006000-300,,300.0,,,,2,Programme,SOUTIEN ET PILOTAGE,3179307000,3171460390.71,3179307000.0,9500000.0,9500000.0,3179307000.0,3171460390.71
2025,1211006000-300,,300.0,,,,2,Programme,SOUTIEN ET PILOTAGE,3419812000,3417594788.2,3419812000.0,6000000.0,6000000.0,3419812000.0,3417594788.2
2026,1211006000-300,,300.0,,,,2,Programme,SOUTIEN ET PILOTAGE,4120912000,3976225539.57,4120912000.0,0.0,0.0,4120912000.0,3976225539.57
2021,1211006000-300-00,,,0.0,,,3,Region,SERVICES COMMUNS,4717208000,4781379728.76,4717208000.0,10000.0,10000.0,4809208000.0,4781379728.76
2022,1211006000-300-00,,,0.0,,,3,Region,SERVICES COMMUNS,5020563000,5014150298.43,5020563000.0,14000000.0,14000000.0,5020563000.0,5014150298.43
2023,1211006000-300-00,,,0.0,,,3,Region,SERVICES COMMUNS,3175472000,3071724920.04,3175472000.0,12000000.0,12000000.0,3175472000.0,3071724920.04
2024,1211006000-300-00,,,0.0,,,3,Region,SERVICES COMMUNS,3179307000,3171460390.71,3179307000.0,9500000.0,9500000.0,3179307000.0,3171460390.71
2025,1211006000-300-00,,,0.0,,,3,Region,SERVICES COMMUNS,3419812000,3417594788.2,3419812000.0,6000000.0,6000000.0,3419812000.0,3417594788.2
2026,1211006000-300-00,,,0.0,,,3,Region,SERVICES COMMUNS,4120912000,3976225539.57,4120912000.0,0.0,0.0,4120912000.0,3976225539.57
2021,1211006000-300-00-10,,,,10.0,,4,Projet,Soutien des missions,4717208000,4781379728.76,4717208000.0,10000.0,10000.0,4809208000.0,4781379728.76
2022,1211006000-300-00-10,,,,10.0,,4,Projet,Soutien des missions,5020563000,5014150298.43,5020563000.0,14000000.0,14000000.0,5020563000.0,5014150298.43
2023,1211006000-300-00-10,,,,10.0,,4,Projet,Soutien des missions,3175472000,3071724920.04,3175472000.0,12000000.0,12000000.0,3175472000.0,3071724920.04
2024,1211006000-300-00-10,,,,10.0,,4,Projet,Soutien des missions,3179307000,3171460390.71,3179307000.0,9500000.0,9500000.0,3179307000.0,3171460390.71
2025,1211006000-300-00-10,,,,10.0,,4,Projet,Soutien des missions,3419812000,3417594788.2,3419812000.0,6000000.0,6000000.0,3419812000.0,3417594788.2
2026,1211006000-300-00-10,,,,10.0,,4,Projet,Soutien des missions,4120912000,3976225539.57,4120912000.0,0.0,0.0,4120912000.0,3976225539.57
2021,1211006000-300-00-10-11,,,,,11.0,5,Ligne,"Traitements, salaires et indemnités permanentes du personnel titulaire et assimilé (*)",4095955000,4174100432.18,4095955000.0,0.0,0.0,4174924000.0,4174100432.18
2022,1211006000-300-00-10-11,,,,,11.0,5,Ligne,"Traitements, salaires et indemnités permanentes du personnel titulaire et assimilé (*)",4357800000,4370127872.12,4357800000.0,14000000.0,0.0,4371800000.0,4370127872.12
